0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96
0005;1;;5B3576BE00000341;0000000000000000003A;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;732700030300.0;01C9;0001;1.0;1.0;1598235D;;1.0;07AD;C270AA8D;FC1D5010;73;97487283;97487283;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB46;;;;;;;;;;;;;;;;;;;;;;;;;;EF920244F129AE193031;
0005;1;;5B3576BE000003CA;0000000000000000003B;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB46;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0F2;00000640;00000708;0000159A;0000159A;;;;;;;;;;;;;;;;;;;;;CC19F0F6716C0FF83031;
0005;1;;5B3576BE000000D5;0000000000000000003C;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;732700030300.0;01C9;0001;1.0;1.0;146DB2F6;;46.0;0910;827D19D6;E4924EAE;73;356B7EE0;356B7EE0;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB47;;;;;;;;;;;;;;;;;;;;;;;;;;0D51B73FDB0B216D3031;
0005;1;;5B3576BE000001C2;0000000000000000003D;;724004;405;40502;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB47;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0F3;00001068;00000A8C;00004F88;00004F88;;;;;;;;;;;;;;;;;;;;;EB321BB7546EDC413031;
0005;1;;5B3576C000000086;0000000000000000003E;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61000060000.0;01C9;0004;9.0;1.0;52900190;;1.0;055A;FC5A56AA;3B6C6762;6F;D5AEDD65;D5AEDD65;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB48;;;;;;;;;;;;;;;;;;;;;;;;;;7752D3EE12B292623031;
0005;1;;5B3576C000000165;0000000000000000003F;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB48;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0F4;00000578;00000834;00001720;00001720;;;;;;;;;;;;;;;;;;;;;356FC04D97D132F13031;
0005;1;;5B3576C100000152;00000000000000000040;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61000060000.0;01C9;0002;5.0;1.0;6454001D;;1.0;0F07;91ED262C;96EA8062;73;C3C41A2D;C3C41A2D;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB49;;;;;;;;;;;;;;;;;;;;;;;;;;04A3685C266000223031;
0005;1;;5B3576C10000023A;00000000000000000041;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB49;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0F5;000006A4;000006A4;00001644;00001644;;;;;;;;;;;;;;;;;;;;;1F67734D70FEA2013031;
0005;1;;5B3576C40000028A;00000000000000000042;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;732700030300.0;01C9;0001;1.0;1.0;141D8983;;46.0;078E;C54DBA2E;6F641B4E;73;981E8A35;981E8A35;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB4A;;;;;;;;;;;;;;;;;;;;;;;;;;3D50E391A594E3623031;
0005;1;;5B3576C40000035F;00000000000000000043;;724004;405;40502;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB4A;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0F6;00001068;00000A8C;00004F6A;00004F6A;;;;;;;;;;;;;;;;;;;;;9E13683440D599193031;
